# T9      λnpFull/λnpBorn   
0.008000000000000004      1
0.008051268020488646      1
0.008102864592217901      1
0.008154791820709217      1
0.008207051824977317      1
0.008259646737616604      1
0.008312578704888248      1
0.008365849886807707      1
0.008419462457232928      1
0.008473418603953033      1
0.008527720528777573      1
0.00858237044762643      1
0.008637370590620185      1
0.008692723202171184      1
0.008748430541075061      1
0.008804494880602974      1
0.008860918508594346      1
0.008917703727550198      1
0.008974852854727168      1
0.009032368222232008      1
0.009090252177116802      1
0.009148507081474732      1
0.009207135312536424      1
0.009266139262767037      1
0.009325521339963807      1
0.009385283967354384      1
0.009445429583695642      1
0.00950596064337326      1
0.009566879616501855      1
0.009628188989025756      1
0.009689891262820504      1
0.009751988955794879      1
0.009814484601993727      1
0.00987738075170129      1
0.009940679971545333      1
0.010004384844601871      1
0.010068497970500537      1
0.010133021965530727      1
0.01019795946274832      1
0.010263313112083141      1
0.010329085580447102      1
0.010395279551843021      1
0.010461897727474159      1
0.010528942825854438      1
0.0105964175829194      1
0.010664324752137822      1
0.010732667104624095      1
0.010801447429251307      1
0.010870668532765046      1
0.010940333239897931      1
0.01101044439348489      1
0.011081004854579177      1
0.011152017502569098      1
0.011223485235295531      1
0.011295410969170175      1
0.011367797639294559      1
0.011440648199579828      1
0.01151396562286726      1
0.011587752901049603      1
0.011662013045193152      1
0.01173674908566063      1
0.01181196407223485      1
0.011887661074243158      1
0.011963843180682705      1
0.01204051350034648      1
0.01211767516195018      1
0.012195331314259886      1
0.012273485126220549      1
0.012352139787085322      1
0.01243129850654568      1
0.01251096451486244      1
0.01259114106299753      1
0.01267183142274668      1
0.012753038886872937      1
0.012834766769241026      1
0.012917018404952577      1
0.012999797150482245      1
0.013083106383814642      1
0.013166949504582212      1
0.01325132993420395      1
0.013336251116025023      1
0.013421716515457281      1
0.01350772962012069      1
0.013594293939985623      1
0.013681413007516107      1
0.01376909037781398      1
0.013857329628763956      1
0.013946134361179632      1
0.014035508198950422      1
0.014125454789189468      1
0.01421597780238242      1
0.014307080932537257      1
0.014398767897335015      1
0.014491042438281495      1
0.014583908320859955      1
0.014677369334684748      1
0.014771429293656005      1
0.014866092036115225      1
0.014961361425001932      1
0.015057241348011315      1
0.015153735717752852      1
